0,name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
,Call On Me - Ryan Riback Extended Remix,Starley,0.676,0.843,0,-4.068,1,0.0367,0.0623,0.000752,0.181,0.718,105.003,222041,4
,Feels,Calvin Harris,0.893,0.745,11,-3.105,0,0.0571,0.0642,0,0.0943,0.872,101.018,223413,4
,Mama,Jonas Blue,0.746,0.793,11,-4.209,0,0.0412,0.11,0,0.0528,0.557,104.027,181615,4
,Felices los 4,Maluma,0.755,0.789,5,-4.502,1,0.146,0.231,0,0.351,0.737,93.973,229849,4
,iSpy (feat. Lil Yachty),KYLE,0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,253107,4
,Location,Khalid,0.736,0.449,1,-11.462,0,0.425,0.33,0.000162,0.0898,0.326,80.126,219080,4
,Chantaje,Shakira,0.852,0.773,8,-2.921,0,0.0776,0.187,3.05E-05,0.159,0.907,102.034,195840,4
,Bad and Boujee (feat. Lil Uzi Vert),Migos,0.927,0.665,11,-5.313,1,0.244,0.061,0,0.123,0.175,127.076,343150,4
,Havana,Camila Cabello,0.768,0.517,7,-4.323,0,0.0312,0.186,3.80E-05,0.104,0.418,104.992,216897,4
,Solo Dance,Martin Jensen,0.744,0.836,6,-2.396,0,0.0507,0.0435,0,0.194,0.36,114.965,174933,4
,Fake Love,Drake,0.927,0.488,9,-9.433,0,0.42,0.108,0,0.196,0.605,133.987,210937,4
,Let Me Love You,DJ Snake,0.476,0.718,8,-5.309,1,0.0576,0.0784,1.02E-05,0.122,0.142,199.864,205947,4
,More Than You Know,Axwell /\ Ingrosso,0.644,0.743,5,-5.002,0,0.0355,0.034,0,0.257,0.544,123.074,203000,4
,One Dance,Drake,0.791,0.619,1,-5.886,1,0.0532,0.00784,0.00423,0.351,0.371,103.989,173987,4
,SUBEME LA RADIO,Enrique Iglesias,0.684,0.823,9,-3.297,0,0.0773,0.0744,0,0.111,0.647,91.048,208163,4
,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,0.703,0.868,7,-4.661,0,0.0291,0.15,0.132,0.104,0.733,121.03,193613,4
,Sorry Not Sorry,Demi Lovato,0.704,0.633,11,-6.923,0,0.241,0.0214,0,0.29,0.863,144.021,203760,4
,Redbone,Childish Gambino,0.743,0.359,1,-10.401,1,0.0794,0.199,0.00611,0.137,0.587,160.083,326933,4
,24K Magic,Bruno Mars,0.818,0.803,1,-4.282,1,0.0797,0.034,0,0.153,0.632,106.97,225983,4
,DNA.,Kendrick Lamar,0.637,0.514,1,-6.763,1,0.365,0.0047,0,0.094,0.402,139.931,185947,4
,El Amante,Nicky Jam,0.683,0.691,8,-5.535,1,0.0432,0.243,0,0.14,0.732,179.91,219507,4
,You Don't Know Me - Radio Edit,Jax Jones,0.876,0.669,11,-6.054,0,0.138,0.163,0,0.185,0.682,124.007,213947,4
,Chained To The Rhythm,Katy Perry,0.448,0.801,0,-5.363,1,0.165,0.0733,0,0.146,0.462,189.798,237734,4
,No Promises (feat. Demi Lovato),Cheat Codes,0.741,0.667,10,-5.445,1,0.134,0.0575,0,0.106,0.595,112.956,223504,4
,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,0.775,0.617,7,-6.166,1,0.0701,0.341,0,0.0985,0.485,100.048,214265,4
,"How Far I'll Go - From ""Moana""",Alessia Cara,0.314,0.555,9,-9.601,1,0.37,0.157,0.000108,0.067,0.159,179.666,175517,4
,Slow Hands,Niall Horan,0.734,0.418,0,-6.678,1,0.0425,0.0129,0,0.0579,0.868,85.909,188174,4
,Escápate Conmigo,Wisin,0.747,0.864,8,-3.181,0,0.0599,0.0245,4.46E-05,0.0853,0.754,92.028,232787,4
,Bounce Back,Big Sean,0.77,0.567,2,-5.698,1,0.175,0.105,0,0.125,0.26,81.477,222360,4
,Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,340707,4
,goosebumps,Travis Scott,0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,243837,4
,Young Dumb & Broke,Khalid,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66E-05,0.165,0.394,136.949,202547,4
,There for You,Martin Garrix,0.611,0.644,6,-7.607,0,0.0553,0.124,0,0.124,0.13,105.969,221904,4
,Cold (feat. Future),Maroon 5,0.697,0.716,9,-6.288,0,0.113,0.118,0,0.0424,0.506,99.905,234308,4
,Silence,Marshmello,0.52,0.761,4,-3.093,1,0.0853,0.256,4.96E-06,0.17,0.286,141.971,180823,4
,Too Good At Goodbyes,Sam Smith,0.698,0.375,5,-8.279,1,0.0491,0.652,0,0.173,0.534,91.92,201000,4
,Just Hold On,Steve Aoki,0.647,0.932,11,-3.515,1,0.0824,0.00383,1.50E-06,0.0574,0.374,114.991,198774,4
,Look What You Made Me Do,Taylor Swift,0.773,0.68,9,-6.378,0,0.141,0.213,1.57E-05,0.122,0.497,128.062,211859,4
,Glorious (feat. Skylar Grey),Macklemore,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59E-05,0.112,0.356,139.994,220454,4
,Starving,Hailee Steinfeld,0.721,0.626,4,-4.2,1,0.123,0.402,0,0.102,0.558,99.914,181933,4
,Reggaetón Lento (Bailemos),CNCO,0.761,0.838,4,-3.073,0,0.0502,0.4,0,0.176,0.71,93.974,222560,4
,Weak,AJR,0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,201160,4
,Side To Side,Ariana Grande,0.648,0.738,6,-5.883,0,0.247,0.0408,0,0.292,0.603,159.145,226160,4
,Otra Vez (feat. J Balvin),Zion & Lennox,0.832,0.772,10,-5.429,1,0.1,0.0559,0.000486,0.44,0.704,96.016,209453,4
,I Like Me Better,Lauv,0.752,0.505,9,-7.621,1,0.253,0.535,2.55E-06,0.104,0.419,91.97,197437,4
,In the Name of Love,Martin Garrix,0.49,0.485,4,-6.237,0,0.0406,0.0592,0,0.337,0.196,133.889,195840,4
,Cold Water (feat. Justin Bieber & MØ),Major Lazer,0.608,0.798,6,-5.092,0,0.0432,0.0736,0,0.156,0.501,92.943,185352,4
,Malibu,Miley Cyrus,0.573,0.781,8,-6.406,1,0.0555,0.0767,2.64E-05,0.0813,0.343,139.934,231907,4
,All Night,The Vamps,0.544,0.809,8,-5.098,1,0.0363,0.0038,0,0.323,0.448,145.017,197640,4
,Hear Me Now,Alok,0.789,0.442,11,-7.844,1,0.0421,0.586,0.00366,0.0927,0.45,121.971,192846,4
,Your Song,Rita Ora,0.855,0.624,1,-4.093,1,0.0488,0.158,0,0.0513,0.962,117.959,180757,4
,Ahora Dice,Chris Jeday,0.708,0.693,6,-5.516,1,0.138,0.246,0,0.129,0.427,143.965,271080,4
,Friends (with BloodPop®),Justin Bieber,0.744,0.739,8,-5.35,1,0.0387,0.00459,0,0.306,0.649,104.99,189467,4
,Bank Account,21 Savage,0.884,0.346,8,-8.228,0,0.351,0.0151,7.04E-06,0.0871,0.376,75.016,220307,4
,Bad Things (with Camila Cabello),Machine Gun Kelly,0.675,0.69,2,-4.761,1,0.132,0.21,0,0.287,0.272,137.817,239293,4
,Don't Let Me Down,The Chainsmokers,0.542,0.859,11,-5.651,1,0.197,0.16,0.00466,0.137,0.403,159.797,208053,4
,Body Like A Back Road,Sam Hunt,0.731,0.469,5,-7.226,1,0.0326,0.463,1.04E-06,0.103,0.631,98.963,165387,4
,Now Or Never,Halsey,0.658,0.588,6,-4.902,0,0.0367,0.105,1.28E-06,0.125,0.434,110.075,214802,4
,Dusk Till Dawn - Radio Edit,ZAYN,0.258,0.437,11,-6.593,0,0.039,0.101,1.27E-06,0.106,0.0967,180.043,239000,4
